T A_init L S Dead Code
1350 45.000000 0 0 1024 0
1350 50.000000 0 0 1024 0
1400 0.000000 0 0 1024 0
1400 5.000000 0 0 1024 0
1400 10.000000 0 0 1024 0
1400 15.000000 0 0 1024 0
1400 20.000000 0 0 1024 0
1400 25.000000 0 0 1024 0
1400 30.000000 0 0 1024 0
1400 35.000000 0 0 1024 0
1400 40.000000 0 0 1024 0
1400 45.000000 0 0 1024 0
1400 50.000000 0 0 1024 0
1450 0.000000 0 0 1024 0
1450 5.000000 0 0 1024 0
1450 10.000000 0 0 1024 0
1450 15.000000 0 0 1024 0
1450 20.000000 0 0 1024 0
1450 25.000000 0 0 1024 0
1450 30.000000 0 0 1024 0
1450 35.000000 0 0 1024 0
1450 40.000000 0 0 1024 0
1450 45.000000 0 0 1024 0
1450 50.000000 0 0 1024 0
1500 0.000000 0 0 1024 0
1500 5.000000 0 0 1024 0
1500 10.000000 0 0 1024 0
1500 15.000000 0 0 1024 0
1500 20.000000 0 0 1024 0
1500 25.000000 0 0 1024 0
1500 30.000000 0 0 1024 0
1500 35.000000 0 0 1024 0
1500 40.000000 0 0 1024 0
1500 45.000000 0 0 1024 0
1500 50.000000 0 0 1024 0
